name,characteristic,type,descriptors,skill_text,skill_description,skill_use
Lip Reading,Perception,Advanced,,Advanced. Understand speech by observing lip movements and expressions.,"Allows comprehension of speech by line‑of‑sight observation. Distance, lighting, and familiarity with the language affect difficulty. Useful when eavesdropping is required without audio.",Varies with scene; generally requires sustained observation.
Literacy,Intelligence,Advanced,,Advanced. Read and write any language the character speaks.,"Everyday reading/writing needs no test. Regional variations, archaic or damaged texts, and colloquialisms may require tests at appropriate difficulty.",About 1 minute per page (~750 words).
Lore: Common,Intelligence,Advanced,Investigation,"Advanced (Investigation). Skill Groups include Adeptus Arbites, Adeptus Astartes, Adeptus Mechanicus, Administratum, Deathwatch, Ecclesiarchy, Imperial Creed, Imperial Guard, Imperial Navy, Imperium, Jericho Reach, Tech, War.","Recall general information, procedures, divisions, traditions, famed individuals, and superstitions for a given group, world, or culture. Success yields broad facts; extra Degrees of Success reveal more detail.",Varies; often immediate recall; research uses may be Extended Tests.
Lore: Forbidden,Intelligence,Advanced,Investigation,"Advanced (Investigation). Skill Groups cover proscribed/hidden knowledge (e.g., Xenos, Warp, Inquisition, Archeotech, Traitor Legions, Adeptus Astartes, etc.).","Covers lore kept secret or proscribed: alien species, warp phenomena, cults, heresies, ancient technologies. Tests recall dangerous or concealed information; access and sources affect difficulty.",Varies; often immediate recall; risky or deep research may be Extended.
Lore: Scholastic,Intelligence,Advanced,Investigation,Advanced (Investigation). Academic disciplines and formal scholarship (various groups as defined by the setting).,"Represents formal, academic study (history, tactics theory, heraldry, philosophy, etc.). Provides structured, theoretical knowledge distinct from Common or Forbidden Lore.",Varies; often immediate recall; academic research may be Extended.
Medicae,Intelligence,Advanced,,Advanced. Diagnose and treat injuries and ailments; perform field medicine and surgery.,"Covers first aid, surgery, disease treatment, and related medical tasks. Quality of tools, environment, and patient condition modify difficulty. Some procedures are Extended Tests; Medicae interacts with drugs/chems (see Chem‑Use).",Half Action to Full Action for standard applications; complex procedures may be Extended.
Navigation,Intelligence,Advanced,,"Advanced. Skill Groups: Surface, Stellar, Warp.","Determine routes and positions across terrain, the void, or the immaterium. Surface covers planetary or subterranean navigation; Stellar covers realspace courses; Warp concerns plotting safe passages through the immaterium.",Varies; plotting complex courses often requires Extended Tests.
Performer,Fellowship,Advanced,,"Advanced. Skill Groups include Storyteller, Singer, Musician, Actor, Dancer, etc.","Perform before an audience with song, story, music, acting, and so forth. Difficulty depends on audience, venue, and material. Special uses can substitute for Charm, Blather, or Command in specific circumstances.",Varies; performances typically take several minutes or more.
Pilot,Agility,Advanced,Operator,"Advanced (Operator). Skill Groups: Personal, Flyers, Space Craft.","Operate personal jump packs, atmospheric craft (landers, gun‑cutters), and void‑capable ships (fighters to capital vessels). Normal conditions need no test; storms, obstacles, and dangerous manoeuvres do. Chases are Opposed Tests.",Half Action.
Psyniscience,Perception,Advanced,,"Advanced. Sense warp currents, entities, psychic powers, and disturbances; see Table 3‑4.","Detect the presence/absence of daemons and psychic activity; identify psychic phenomena, voids, and immaterium disruptions. Degrees of Success provide direction, location, and precision as summarised on Table 3‑4.",Full Action.
Security,Agility,Advanced,,"Advanced. Open locks, bypass security systems, and defeat traps or countermeasures; often Opposed by the original installer.","Used to pick locks, bypass seals, defeat alarms, or overcome security systems. The GM sets difficulty by quality of the mechanism; many tasks are Opposed Tests versus the installer’s skill if known or recorded (e.g., for defusing bombs see Demolition).",Half Action to several minutes; complex systems may require Extended Tests.
Shadowing,Agility,Advanced,,Advanced. Follow a target without being noticed; Opposed by Awareness or Scrutiny.,The art of following without detection. Always an Opposed Test against the target’s Awareness or Scrutiny. A single successful test follows a target unseen for about a minute; longer tails may require repeated or Extended Tests.,1 minute per successful test (longer at GM’s discretion).
Sleight of Hand,Agility,Advanced,,"Advanced. Palming, pickpocketing, and tricks; Opposed by Awareness or Scrutiny; can be used to cheat at Gamble.","Tasks requiring deception and dexterity such as palming objects, lifting items, or performing tricks. Always Opposed by Awareness or Scrutiny. May substitute for Gamble to alter odds; usually a Half Action, or a Free Action at –10.",Half Action (or Free Action at –10).
Speak Language,Intelligence,Advanced,,"Advanced. Skill Groups: Eldar, High Gothic, Kroot, Low Gothic, Ork, Techna‑Lingua, Tau.","Communicate using the chosen language. Most routine communication needs no test if a common tongue is shared. Obscure dialects, cryptic concepts, or specialised jargon may require tests with appropriate modifiers.",Free Action.
Survival,Intelligence,Advanced,,"Advanced. Endure and live off hostile environments, natural or artificial; find food/water/shelter; track local hazards.","Endure unusual or alien environments; find edible flora/fauna; hunt; evaluate safety of food; construct shelters away from hazards. Applies to natural wilderness and to artificial or industrial environments (e.g., hive depths, space hulks).",Various (as appropriate to the task).
Tactics,Intelligence,Advanced,,"Advanced. Skill Groups: Air Combat, Armoured Tactics, Assault Doctrine, Defensive Doctrine, Orbital Drop Procedures, Recon and Stealth.","Practical application of military knowledge in battle. Focuses on on‑the‑ground manoeuvres and actions (distinct from theoretical Lore and from issuing orders via Command). Used to plan engagements, set ambushes, and choose doctrine‑appropriate actions.",Varies; planning efforts may be Extended Tests.
Tech-Use,Intelligence,Advanced,,"Advanced. Operate, maintain, and repair technology; set up, calibrate, and troubleshoot devices.","Operation and repair of technological devices from auspex to vox arrays to spacecraft systems. Some tasks are simple interactions; others require lengthy repairs or calibrations. The GM sets difficulty based on tool quality, schematics, and environment.",Half Action for simple operations; complex tasks may be Extended Tests.
Tracking,Intelligence,Advanced,,Advanced. Follow trails and signs to locate targets; interpret spoor and disturbances; often Extended Tests.,"Follow and interpret tracks, signs, and environmental disturbances to pursue a quarry. Difficulty depends on terrain, time elapsed, weather, and the target’s countermeasures. Often used in conjunction with Survival.",Varies; simple tracking is a Full Action; extended pursuits may be Extended Tests.
Trade,Intelligence,Advanced,Crafting,"Advanced (Crafting). Skill Groups include numerous crafts and professions such as Armourer, Artisan, Chymist, Smith, etc.","Represents practical craftsmanship and professional disciplines. Used to create, modify, or appraise items within the trade. Manufacturing from raw materials typically requires components worth about half the item’s value and is resolved as an Extended Test.",Varies; crafting typically uses Extended Tests.
Wrangling,Intelligence,Advanced,,Advanced. Handle and train beasts; ride or control animals; calm or incite creatures.,"Care for, train, and control animals and xenos‑beasts. Includes calming mounts, directing attacks, and reading animal behaviour. The GM sets difficulty based on temperament and training level.",Half Action to several minutes; training is typically an Extended Test.
